Date,Open,High,Low,Close,Adj Close,Volume
2019-02-13,72000.000000,74400.000000,72000.000000,74300.000000,74300.000000,68948
2019-02-14,74100.000000,75000.000000,73200.000000,75000.000000,75000.000000,44388
2019-02-15,75000.000000,75200.000000,74200.000000,74900.000000,74900.000000,35366
2019-02-18,75300.000000,75300.000000,74000.000000,75100.000000,75100.000000,28257
2019-02-19,74800.000000,75100.000000,73000.000000,74900.000000,74900.000000,45339
2019-02-20,74600.000000,74900.000000,73200.000000,73700.000000,73700.000000,54690
2019-02-21,73700.000000,74100.000000,72800.000000,73500.000000,73500.000000,25706
2019-02-22,73000.000000,73700.000000,72400.000000,72600.000000,72600.000000,17674
2019-02-25,72200.000000,73400.000000,72200.000000,73000.000000,73000.000000,15434
2019-02-26,72800.000000,73600.000000,72300.000000,72600.000000,72600.000000,16550
2019-02-27,73300.000000,73300.000000,72500.000000,73200.000000,73200.000000,14506
2019-02-28,73400.000000,76500.000000,72500.000000,73700.000000,73700.000000,86482
2019-03-04,74600.000000,78100.000000,74600.000000,77300.000000,77300.000000,79816
2019-03-05,76600.000000,77700.000000,75300.000000,75800.000000,75800.000000,24577
2019-03-06,75800.000000,76400.000000,74700.000000,75900.000000,75900.000000,25867
2019-03-07,76400.000000,76600.000000,73400.000000,74000.000000,74000.000000,24946
2019-03-08,73400.000000,73700.000000,72100.000000,73000.000000,73000.000000,22288
2019-03-11,72100.000000,73000.000000,71000.000000,72400.000000,72400.000000,18813
2019-03-12,72100.000000,73500.000000,71300.000000,71900.000000,71900.000000,41730
2019-03-13,72600.000000,73800.000000,71800.000000,72500.000000,72500.000000,23904
2019-03-14,70900.000000,72200.000000,69700.000000,70600.000000,70600.000000,75063
2019-03-15,70300.000000,71400.000000,70200.000000,70600.000000,70600.000000,33473
2019-03-18,71000.000000,73300.000000,71000.000000,73100.000000,73100.000000,23770
2019-03-19,73300.000000,73600.000000,71300.000000,71600.000000,71600.000000,16963
2019-03-20,71200.000000,72100.000000,70200.000000,71900.000000,71900.000000,26135
2019-03-21,72300.000000,72300.000000,70200.000000,70200.000000,70200.000000,29656
2019-03-22,69700.000000,70200.000000,67600.000000,67900.000000,67900.000000,51941
